"No","Player ID","Player Name","MLB ID","Date","Pitch ID","Pitch Type","Is Strike","Strike Zone Side","Strike Zone Height","Velocity","Total Spin","True Spin (release)","Spin Efficiency (release)","Spin Direction","Spin Confidence","Release Extension (ft)","VB (trajectory)","HB (trajectory)","VB (spin)","HB (spin)","Horizontal Angle","Release Angle","Release Height","Release Side","Gyro Degree (deg)","Unique ID","Device Serial Number","Horizontal Approach Angle","Vertical Approach Angle"
1,103705,"Guest ","-","Thu Oct 10 2024 10:05:58 PM",1728597958,"ChangeUp","NO","35.00","21.94",77.25,1846.3,1618.7,87.7,"01:16",0.8,1.5652065,"15.09","15.30","15.1","11.7","0.90","-0.32","5.55","0.79","28.75","103705@1728597958","RBB20WBSM44R","-","-"
2,103705,"Guest ","-","Thu Oct 10 2024 10:06:23 PM",1728597983,"ChangeUp","NO","25.12","19.23",77.04,1955.3,1788.4,91.5,"01:16",0.9,1.4103031,"16.74","16.35","16.7","12.8","0.07","-1.06","5.63","0.66","23.85","103705@1728597983","RBB20WBSM44R","-","-"
3,103705,"Guest ","-","Thu Oct 10 2024 10:06:48 PM",1728598008,"ChangeUp","NO","27.24","27.03",76.98,1989.7,1770,89,"01:20",0.9,1.5399265,"15.46","14.19","15.5","12.9","0.43","-0.29","5.54","0.68","27.18","103705@1728598008","RBB20WBSM44R","-","-"
4,103705,"Guest ","-","Thu Oct 10 2024 10:07:16 PM",1728598036,"ChangeUp","NO","18.19","21.83",78.48,1954,1783.5,91.3,"01:10",0.9,1.4628315,"17.03","16.09","17.0","11.8","-0.48","-1.09","5.63","0.63","24.11","103705@1728598036","RBB20WBSM44R","-","-"
5,103705,"Guest ","-","Thu Oct 10 2024 10:07:44 PM",1728598064,"ChangeUp","NO","29.86","38.81",79.05,1897.1,1722.3,90.8,"01:20",0.9,1.5437851,"15.23","14.72","15.2","12.9","0.77","0.75","5.51","0.54","24.79","103705@1728598064","RBB20WBSM44R","-","-"
6,103705,"Guest ","-","Thu Oct 10 2024 10:08:22 PM",1728598102,"ChangeUp","NO","24.62","17.60",79.16,1882.5,1678.7,89.2,"01:14",0.8,1.524334,"15.80","16.89","15.8","11.7","0.07","-1.23","5.50","0.58","26.91","103705@1728598102","RBB20WBSM44R","-","-"
7,103705,"Guest ","-","Thu Oct 10 2024 10:08:56 PM",1728598136,"ChangeUp","NO","10.02","17.49",79.44,1951.9,1729,88.6,"01:00",0.7,1.6338043,"17.13","16.81","17.1","9.6","-1.12","-0.81","5.50","0.49","27.65","103705@1728598136","RBB20WBSM44R","-","-"
8,103705,"Guest ","-","Thu Oct 10 2024 10:09:30 PM",1728598170,"ChangeUp","NO","24.75","21.00",78.34,1888.4,1659.3,87.9,"00:58",0.8,1.5119934,"17.14","18.15","17.1","9.2","0.08","-0.74","5.60","0.48","28.51","103705@1728598170","RBB20WBSM44R","-","-"
9,103705,"Guest ","-","Thu Oct 10 2024 10:10:03 PM",1728598203,"ChangeUp","NO","25.77","26.04",79.41,1858.1,1719.7,92.6,"01:14",0.8,1.5697861,"16.21","17.05","16.2","12.0","0.22","-0.48","5.46","0.52","22.26","103705@1728598203","RBB20WBSM44R","-","-"
10,103705,"Guest ","-","Thu Oct 10 2024 10:10:53 PM",1728598253,"Fastball","NO","20.00","29.61",80.31,1928,1679.9,87.1,"00:58",0.8,1.5471745,"16.93","14.91","16.9","9.2","0.06","-0.69","5.67","0.37","29.39","103705@1728598253","RBB20WBSM44R","-","-"
11,103705,"Guest ","-","Thu Oct 10 2024 10:11:35 PM",1728598295,"-","NO","-","-",80.08,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","103705@1728598295","RBB20WBSM44R","-","-"
12,103705,"Guest ","-","Thu Oct 10 2024 10:12:14 PM",1728598334,"ChangeUp","NO","23.16","-2.49",79.43,346.7,296.4,85.5,"00:58",0.6,1.6164017,"5.74","21.24","5.7","2.9","0.01","-3.35","5.50","0.15","31.25","103705@1728598334","RBB20WBSM44R","-","-"
13,103705,"Guest ","-","Thu Oct 10 2024 10:26:57 PM",1728599217,"-","NO","-","-",69.67,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","103705@1728599217","RBB20WBSM44R","-","-"
14,103705,"Guest ","-","Thu Oct 10 2024 10:27:11 PM",1728599231,"ChangeUp","YES","9.73","37.10",74.89,1851.4,1701,91.9,"01:26",0.7,1.4508591,"15.21","19.64","15.2","13.9","-1.95","1.71","5.53","1.02","23.25","103705@1728599231","RBB20WBSM44R","-","-"
